emoji,posts_with_other_emojis,common_other_emojis
🙏,508,"{""\ud83c\uddee\ud83c\uddf1"": 22.821576763485478, ""\u2764\ufe0f"": 15.560165975103734, ""\ud83d\udc99"": 5.7053941908713695, ""\ud83d\udc51"": 2.904564315352697, ""\ud83d\udcaa"": 2.4896265560165975, ""\ud83d\ude42"": 1.970954356846473, ""\ud83d\udc94"": 1.7634854771784232, ""\ud83d\udc4f"": 1.6597510373443984, ""\ud83c\udf39"": 1.6597510373443984, ""\ud83e\udd70"": 1.6597510373443984}"
😔,24,"{""\ud83d\udc94"": 16.3265306122449, ""\ud83c\uddee\ud83c\uddf1"": 8.16326530612245, ""\ud83e\udd40"": 8.16326530612245, ""\ud83d\ude4f"": 6.122448979591836, ""\ud83d\ude22"": 6.122448979591836, ""\ud83d\ude2a"": 6.122448979591836, ""\ud83e\udea3"": 4.081632653061225, ""\ud83e\udd26"": 4.081632653061225, ""\u2665\ufe0f"": 4.081632653061225, ""\ud83d\ude2d"": 4.081632653061225}"
😢,68,"{""\ud83d\udc94"": 32.55813953488372, ""\ud83d\ude2d"": 6.2015503875969, ""\ud83d\udd6f\ufe0f"": 4.651162790697675, ""\ud83c\uddee\ud83c\uddf1"": 3.875968992248062, ""\ud83e\udd26\u200d\u2640\ufe0f"": 3.875968992248062, ""\ud83d\ude4f"": 2.3255813953488373, ""\ud83d\ude14"": 2.3255813953488373, ""\ud83d\ude13"": 2.3255813953488373, ""\ud83e\udd40"": 2.3255813953488373, ""\ud83d\ude21"": 2.3255813953488373}"
💚,51,"{""\ud83d\udc8e"": 11.965811965811966, ""\u2764\ufe0f"": 5.982905982905983, ""\ud83c\uddee\ud83c\uddf1"": 5.128205128205128, ""\ud83d\udc9b"": 4.273504273504273, ""\ud83e\udd0d"": 4.273504273504273, ""\ud83c\udfa7"": 3.418803418803419, ""\ud83d\udda4"": 2.564102564102564, ""\ud83c\udf52"": 2.564102564102564, ""\ud83c\udf0a"": 2.564102564102564, ""\ud83d\udc9c"": 2.564102564102564}"
💔,195,"{""\ud83c\uddee\ud83c\uddf1"": 20.557491289198605, ""\ud83d\ude22"": 14.634146341463413, ""\ud83d\udd6f\ufe0f"": 10.452961672473867, ""\ud83d\ude2d"": 6.2717770034843205, ""\ud83d\ude4f"": 5.923344947735192, ""\ud83e\udd40"": 5.2264808362369335, ""\ud83d\ude14"": 2.7874564459930316, ""\ud83c\udf97\ufe0f"": 2.7874564459930316, ""\ud83d\ude25"": 2.4390243902439024, ""\ud83d\ude13"": 2.4390243902439024}"
🕯️,69,"{""\ud83d\udc94"": 21.73913043478261, ""\ud83c\uddee\ud83c\uddf1"": 19.565217391304348, ""\ud83e\udd40"": 8.695652173913043, ""\ud83d\ude22"": 4.3478260869565215, ""\u2764\ufe0f"": 3.6231884057971016, ""\ud83d\udd4e"": 2.898550724637681, ""\ud83d\ude4f"": 2.898550724637681, ""\ud83d\ude13"": 2.1739130434782608, ""\ud83d\udc9c"": 2.1739130434782608, ""\ud83d\ude2d"": 2.1739130434782608}"
🇦🇺,2,"{""\u2764\ufe0f"": 10.0, ""\ud83c\uddee\ud83c\uddf1"": 10.0, ""\ud83c\udf0d"": 10.0, ""\ud83c\uddee\ud83c\udde9"": 10.0, ""\ud83c\uddf9\ud83c\uddef"": 10.0, ""\ud83c\udde6\ud83c\uddea"": 10.0, ""\ud83c\uddec\ud83c\uddf6"": 10.0, ""\ud83c\uddec\ud83c\uddf3"": 10.0, ""\ud83c\uddea\ud83c\uddec"": 10.0, ""\ud83c\udde8\ud83c\udde9"": 10.0}"
❤️,514,"{""\ud83c\uddee\ud83c\uddf1"": 19.351763584366065, ""\ud83d\ude4f"": 14.299332697807435, ""\ud83d\udcaa"": 2.2878932316491896, ""\ud83e\udd0d"": 1.9065776930409915, ""\ud83d\udc4f"": 1.811248808388942, ""\ud83c\udf77"": 1.6205910390848426, ""\ud83d\udc9b"": 1.6205910390848426, ""\ud83c\udf39"": 1.5252621544327931, ""\ud83d\udc51"": 1.4299332697807436, ""\ud83d\ude42"": 1.4299332697807436}"
🇮🇱,1258,"{""\ud83d\ude4f"": 9.113504556752279, ""\u2764\ufe0f"": 8.409279204639603, ""\ud83d\udc99"": 6.628003314001657, ""\ud83d\udcaa"": 6.296603148301575, ""\ud83e\udd84"": 4.059652029826015, ""\u270a"": 3.024026512013256, ""\ud83d\udc94"": 2.444076222038111, ""\ud83d\udc4f"": 1.9469759734879868, ""\ud83e\udd0d"": 1.739850869925435, ""\ud83d\udc51"": 1.6984258492129245}"
🌍,5,"{""\ud83c\udde6\ud83c\uddfa"": 12.5, ""\u2764\ufe0f"": 12.5, ""\ud83c\uddee\ud83c\uddf1"": 12.5, ""\ud83c\uddf3\ud83c\uddea"": 12.5, ""\ud83e\ude96"": 12.5, ""\ud83d\udc8a"": 12.5, ""\u261d\ufe0f"": 12.5, ""\ud83d\udcc4"": 12.5}"
